VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
     1.46667   0.0961852   0.0139265  0.00200755
     1.73333    0.131944   0.0171185  0.00243389
           2   0.0823704   0.0166834  0.00302427
     2.26667   0.0976481    0.049038   0.0309038
     2.53333    0.105037   0.0397059   0.0223177
         2.8   0.0661296   0.0135565  0.00375257
     3.06667   0.0712963   0.0080038  0.00237929
     3.33333  0.00955556  0.00556675  0.00168862
         3.6      0.0225   0.0026735 0.000813923
     3.86667    0.014537  0.00128456  0.00044649
     4.13333           0 0.000704677 0.000268471
         4.4           0 0.000480396 0.000196461
     4.66667           0 0.000105538 7.64868e-05
     4.93333           0 6.60151e-05 5.40649e-05
         5.2           0 1.95473e-05 1.89966e-05
     5.46667           0 7.88752e-06 7.66529e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00407407 0.000299954 0.000118082
         0.4   0.0262037  0.00214873 0.000381498
    0.666667   0.0687037  0.00379267 0.000356107
    0.933333    0.091537  0.00725685  0.00085594
         1.2   0.0928148   0.0111898  0.00131718
     1.46667    0.120537   0.0135274  0.00194115
     1.73333    0.128981   0.0165748  0.00236574
           2   0.0796667   0.0160261  0.00293568
     2.26667    0.112611    0.046769   0.0293605
     2.53333    0.112111   0.0379267   0.0212139
         2.8    0.061037   0.0130121  0.00359434
     3.06667   0.0594074  0.00774711  0.00226787
     3.33333   0.0177778  0.00532301  0.00161724
         3.6   0.0199074  0.00258793 0.000775569
     3.86667  0.00462963  0.00122977 0.000426339
     4.13333           0 0.000667589  0.00025689
         4.4           0 0.000455112 0.000187741
     4.66667           0 9.99838e-05 7.26626e-05
     4.93333           0 6.25406e-05 5.13309e-05
         5.2           0 1.85185e-05 1.80246e-05
     5.46667           0 7.47238e-06 7.27309e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00925926 0.000308105 0.000112459
         0.4   0.0116481  0.00207042 0.000370374
    0.666667   0.0710185  0.00378058 0.000338507
    0.933333   0.0981111  0.00713928 0.000821177
         1.2   0.0993704   0.0108788  0.00128753
     1.46667    0.119722   0.0131503  0.00188036
     1.73333    0.125407   0.0160596  0.00230287
           2    0.104963   0.0154872  0.00283792
     2.26667    0.123185   0.0447385   0.0279626
     2.53333   0.0905926   0.0362569   0.0202188
         2.8   0.0569259   0.0125038  0.00345038
     3.06667   0.0364259  0.00745082  0.00217375
     3.33333   0.0383704  0.00515279  0.00154532
         3.6  0.00661111  0.00247506 0.000744958
     3.86667  0.00838889  0.00118926 0.000406942
     4.13333           0  0.00063421 0.000246204
         4.4           0 0.000432356 0.000179728
     4.66667           0 9.49846e-05 6.92013e-05
     4.93333           0 5.94136e-05 4.88595e-05
         5.2           0 1.75926e-05 1.71471e-05
     5.46667           0 7.09877e-06 6.91902e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333   0.0122593 0.000321232 0.000107867
         0.4  0.00940741  0.00199316 0.000360706
    0.666667   0.0436481  0.00369953 0.000331949
    0.933333    0.096037  0.00701709 0.000791113
         1.2    0.119111   0.0106308  0.00124987
     1.46667    0.118148    0.012792  0.00182463
     1.73333    0.121352     0.01557  0.00224465
           2     0.12613   0.0150357  0.00273846
     2.26667    0.144315   0.0429353   0.0266891
     2.53333   0.0803519   0.0347125   0.0193149
         2.8   0.0495926   0.0120208   0.0033197
     3.06667   0.0348889  0.00717513  0.00208764
     3.33333       0.016   0.0049437  0.00148581
         3.6   0.0216481  0.00240629 0.000712651
     3.86667  0.00711111  0.00114875 0.000389575
     4.13333           0 0.000604009 0.000236325
         4.4           0 0.000411768 0.000172344
     4.66667           0 9.04615e-05 6.60536e-05
     4.93333           0 5.65844e-05 4.66147e-05
         5.2           0 1.67549e-05 1.63511e-05
     5.46667           0 6.76073e-06  6.5978e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 0.000444444 0.000307549 0.000103829
         0.4   0.0177407  0.00193921  0.00034832
    0.666667   0.0417963  0.00361772 0.000326785
    0.933333   0.0672778  0.00683713  0.00077535
         1.2    0.143093   0.0104433  0.00120705
     1.46667    0.120389   0.0124593  0.00177177
     1.73333       0.141   0.0151536   0.0021809
           2    0.150333   0.0146628  0.00263924
     2.26667    0.124796   0.0412416   0.0255296
     2.53333   0.0435556   0.0332247   0.0184942
         2.8   0.0713333   0.0116218   0.0031927
     3.06667   0.0258519   0.0069024  0.00201049
     3.33333   0.0211667  0.00476272  0.00142925
         3.6    0.021963  0.00234229 0.000683126
     3.86667   0.0087037  0.00111452 0.000373368
     4.13333 0.000555556 0.000577702 0.000227043
         4.4           0 0.000393051 0.000165524
     4.66667           0 8.63496e-05  6.3179e-05
     4.93333           0 5.40123e-05 4.45668e-05
         5.2           0 1.59933e-05 1.56256e-05
     5.46667           0 6.45342e-06 6.30505e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
