VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
         5.2           0 6.59722e-06 6.43018e-06
     5.46667           0 2.66204e-06 2.59463e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00372222 0.000386553 7.20147e-05
         0.4    0.023912  0.00237022 0.000392398
    0.666667   0.0501204    0.005646 0.000692486
    0.933333    0.079375  0.00955231  0.00128161
         1.2     0.12538   0.0132647  0.00209634
     1.46667    0.147032   0.0150581  0.00251346
     1.73333    0.117102   0.0159508  0.00308675
           2    0.102583   0.0153653  0.00301699
     2.26667   0.0822037   0.0410626   0.0266333
     2.53333    0.111352   0.0318975    0.019009
         2.8   0.0696389  0.00949745   0.0025924
     3.06667     0.05525  0.00561016  0.00147762
     3.33333   0.0210417  0.00385414  0.00111897
         3.6  0.00570833  0.00222583 0.000591771
     3.86667  0.00389352 0.000970071 0.000271304
     4.13333  0.00168519 0.000507777 0.000153363
         4.4           0 0.000258241 0.000145787
     4.66667           0 7.46124e-05 4.38466e-05
     4.93333           0 2.73619e-05  1.9861e-05
         5.2           0 6.28307e-06 6.13165e-06
     5.46667           0 2.53527e-06 2.47417e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333 4.16667e-05 0.000369069 7.08321e-05
         0.4  0.00802778  0.00227907 0.000385003
    0.666667   0.0320417  0.00545557 0.000686696
    0.933333   0.0938611  0.00931205  0.00124568
         1.2    0.119028   0.0129077  0.00203123
     1.46667    0.151083   0.0146858  0.00242663
     1.73333    0.127736   0.0154896  0.00298069
           2    0.128171   0.0149317  0.00291085
     2.26667   0.0890787   0.0393802   0.0254758
     2.53333   0.0934954   0.0306408   0.0181864
         2.8   0.0620833  0.00919402  0.00249226
     3.06667   0.0526713  0.00546397  0.00141767
     3.33333   0.0269769  0.00373469  0.00107447
         3.6   0.0102917  0.00214592 0.000570243
     3.86667  0.00443056 0.000935131 0.000261212
     4.13333 0.000981481 0.000486724  0.00014783
         4.4           0 0.000246503 0.000139632
     4.66667           0  7.1221e-05 4.19846e-05
     4.93333           0 2.61182e-05 1.89971e-05
         5.2           0 5.99747e-06 5.85958e-06
     5.46667           0 2.42003e-06 2.36439e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 0.000353022 6.95463e-05
         0.4   0.0114259  0.00220158 0.000375981
    0.666667   0.0496528  0.00531223 0.000671632
    0.933333   0.0807269  0.00905978  0.00121679
