N   Half_pop_ave        L
564   5.56618   5.34475
565   5.66147   5.34475
566   5.52748   5.34475
567   5.53804   5.34475
568   5.4619   5.34475
569   5.47242   5.34475
570   5.59471   5.34475
571   5.59471   5.34475
572   5.59471   5.34475
573   5.54121   5.34475
574   5.57027   5.34475
575   5.58823   5.34475
576   5.69727   5.34475
577   5.68301   5.34475
578   5.65838   5.34475
579   5.65838   5.34475
580   5.6027   5.34475
581   5.62035   5.34475
582   5.63538   5.34475
583   5.64128   5.34475
584   5.56644   5.34475
585   5.58054   5.34475
586   5.58826   5.34475
587   5.70734   5.34475
588   5.6854   5.34475
589   5.67555   5.34475
590   5.67288   5.34475
591   5.72559   5.34475
592   5.72559   5.34475
593   5.51349   5.34475
594   5.52634   5.34475
595   5.57877   5.34475
596   5.5205   5.34475
597   5.59241   5.34475
598   5.64741   5.34475
599   5.65679   5.34475
600   5.66967   5.34475
601   5.70625   5.34475
602   5.72256   5.34475
603   5.72875   5.34475
604   5.75021   5.34475
605   5.75677   5.34475
606   5.71582   5.34475
607   5.8342   5.34475
608   5.89787   5.34475
609   5.66038   5.34475
610   5.65124   5.34475
611   5.47991   5.34475
612   5.47991   5.34475
613   5.47991   5.34475
614   5.65557   5.34475
615   5.64727   5.34475
616   5.85487   5.34475
617   5.86139   5.34475
618   5.77754   5.34475
619   5.83367   5.34475
620   5.83367   5.34475
621   5.84361   5.34475
622   5.70269   5.34475
623   5.70269   5.34475
624   5.70926   5.34475
625   5.53264   5.34475
626   5.71681   5.34475
627   5.68623   5.34475
628   5.72799   5.34475
629   5.76376   5.34475
630   5.71477   5.34475
631   5.54435   5.34475
632   5.53318   5.34475
633   5.67568   5.34475
634   5.69427   5.34475
635   5.6425   5.34475
636   5.54383   5.34475
637   5.54383   5.34475
638   5.88121   5.34475
639   5.97672   5.34475
640   5.99172   5.34475
641   5.81135   5.34475
642   5.78067   5.34475
643   5.78067   5.34475
644   5.72848   5.34475
645   5.57298   5.34475
646   5.79755   5.34475
647   5.79755   5.34475
648   5.96355   5.34475
649   5.8931   5.34475
650   5.88579   5.34475
651   5.92154   5.34475
652   5.92154   5.34475
653   5.83192   5.34475
654   5.82656   5.34475
655   5.74577   5.34475
656   5.6454   5.34475
657   5.64361   5.34475
658   5.60254   5.34475
659   5.605   5.34475
660   5.59874   5.34475
661   5.62317   5.34475
662   5.57016   5.34475
663   5.56832   5.34475
664   5.54325   5.34475
665   5.61962   5.34475
666   5.62423   5.34475
667   5.63976   5.34475
668   5.67107   5.34475
669   5.89665   5.34475
670   5.87002   5.34475
671   5.93305   5.34475
672   5.76621   5.34475
673   5.80098   5.34475
674   5.75246   5.34475
675   5.62766   5.34475
676   5.71163   5.34475
677   5.79849   5.34475
678   5.62799   5.34475
679   5.48894   5.34475
680   5.49798   5.34475
681   5.58808   5.34475
682   5.64541   5.34475
683   5.4715   5.34475
684   5.42984   5.34475
685   5.44468   5.34475
686   5.45673   5.34475
687   5.50314   5.34475
688   5.51535   5.34475
689   5.52488   5.34475
690   5.69441   5.34475
691   5.74216   5.34475
692   5.51222   5.34475
693   5.49899   5.33555
694   5.54763   5.33555
695   5.55941   5.33555
696   5.53142   5.33555
697   5.65657   5.33555
698   5.69558   5.33555
699   5.50196   5.33555
700   5.41167   5.33555
701   5.44596   5.33555
702   5.4989   5.33555
703   5.49591   5.33555
704   5.4386   5.33555
705   5.49337   5.33555
706   5.61314   5.33555
707   5.55266   5.33555
708   5.56025   5.33555
709   5.57551   5.33555
710   5.4908   5.33555
711   5.50194   5.33555
712   5.55119   5.33555
713   5.48261   5.33555
714   5.76032   5.33555
715   5.78077   5.33555
716   5.66958   5.33555
717   5.61975   5.33555
718   5.52824   5.33555
719   5.56979   5.33555
720   5.5099   5.33555
721   5.57458   5.33555
722   5.60066   5.33555
723   5.61974   5.33555
724   5.62892   5.33555
725   5.59819   5.33555
726   5.49402   5.33555
727   5.5078   5.33555
728   5.56223   5.33555
729   5.56988   5.33555
730   5.57964   5.33555
731   5.54302   5.33555
732   5.48149   5.33555
733   5.48857   5.33555
734   5.44362   5.33555
735   5.46622   5.33555
736   5.44276   5.33555
737   5.43645   5.33555
738   5.45615   5.33555
739   5.51589   5.33555
740   5.61204   5.33555
741   5.62866   5.33555
742   5.61763   5.33555
743   5.60572   5.33555
744   5.55311   5.33555
745   5.55658   5.33555
746   5.57487   5.33555
747   5.61252   5.33555
748   5.61982   5.33555
749   5.64193   5.33555
750   5.86489   5.33555
751   5.73869   5.33555
752   5.78837   5.33555
753   5.79141   5.33555
754   5.79141   5.33555
755   5.69223   5.33555
756   5.60349   5.33555
757   5.61164   5.33555
758   5.53388   5.33555
759   5.58605   5.33555
760   5.58794   5.33555
761   5.58794   5.33555
762   5.50033   5.33555
763   5.5156   5.33555
764   5.62463   5.33555
765   5.43952   5.33555
766   5.51413   5.33555
767   5.47936   5.33555
768   5.51506   5.33555
769   5.54503   5.33555
770   5.41717   5.33555
771   5.41717   5.33555
772   5.42021   5.33555
773   5.43858   5.33555
774   5.52219   5.33555
775   5.53508   5.33555
776   5.60813   5.33555
777   5.61389   5.33555
778   5.52546   5.33555
779   5.53845   5.33555
780   5.50038   5.33555
781   5.54776   5.33555
782   5.66385   5.33555
783   5.71411   5.33555
784   5.73844   5.33555
785   5.70024   5.33555
786   5.53925   5.33555
787   5.54983   5.33555
788   5.50176   5.33555
789   5.50176   5.33555
790   5.67721   5.33555
791   5.67629   5.33555
792   5.6871   5.33555
793   5.5996   5.33555
794   5.65247   5.33555
795   5.68032   5.33555
796   5.73392   5.33555
797   5.67765   5.33555
798   5.67957   5.33555
799   5.68739   5.33555
800   5.5507   5.33555
801   5.5507   5.33555
802   5.44206   5.33555
803   5.47323   5.33555
804   5.47025   5.33555
805   5.40902   5.33555
806   5.42822   5.33555
807   5.44281   5.33555
808   5.44552   5.33555
809   5.39032   5.33555
810   5.37597   5.33555
811   5.43145   5.33555
812   5.497   5.33555
813   5.55519   5.33555
814   5.5702   5.33555
815   5.58038   5.33555
816   5.57034   5.33555
817   5.46578   5.33555
818   5.48238   5.33555
819   5.47989   5.33555
820   5.40523   5.33555
821   5.42159   5.33555
822   5.58939   5.33555
823   5.40226   5.33555
824   5.40757   5.33555
825   5.41481   5.33555
826   5.55152   5.33555
827   5.55054   5.33555
828   5.55354   5.33555
829   5.47865   5.33555
830   5.73105   5.33555
831   5.74099   5.33555
832   5.70499   5.33555
833   5.74346   5.33555
834   5.76391   5.33555
835   5.76175   5.33555
836   5.76175   5.33555
837   5.76175   5.33555
838   5.57504   5.33555
839   5.64475   5.33555
840   5.57465   5.33555
841   5.70382   5.33555
842   5.71049   5.33555
843   5.69716   5.33555
844   5.7002   5.33555
845   5.70498   5.33555
846   5.70498   5.33555
847   5.71988   5.33555
848   5.71988   5.33555
849   5.72551   5.33555
850   5.55712   5.33555
851   5.58071   5.33555
852   5.55665   5.33555
853   5.5146   5.33555
854   5.53018   5.33555
855   5.56399   5.33555
856   5.68366   5.33555
857   5.61985   5.33555
858   5.48177   5.33555
859   5.5122   5.33555
860   5.49523   5.33555
861   5.43665   5.33555
862   5.43665   5.33555
863   5.45406   5.33555
864   5.38639   5.33555
865   5.39275   5.14637
866   5.40753   5.14637
867   5.45923   5.14637
868   5.38345   5.14637
869   5.37553   5.14637
870   5.38613   5.14637
871   5.38613   5.14637
872   5.45972   5.14637
873   5.49412   5.14637
874   5.51344   5.14637
875   5.52887   5.14637
876   5.56215   5.14637
877   5.67285   5.14637
878   5.70329   5.14637
879   5.59461   5.14637
880   5.60161   5.14637
881   5.49522   5.14637
882   5.47479   5.14637
883   5.4913   5.14637
884   5.45097   5.14637
885   5.48043   5.14637
886   5.46992   5.14637
887   5.50101   5.14637
888   5.49426   5.14637
889   5.58341   5.14637
890   5.58476   5.14499
891   5.62418   5.14499
892   5.44338   5.14499
893   5.44338   5.14499
894   5.47177   5.14499
895   5.43491   5.14499
896   5.44604   5.14499
897   5.62321   5.11643
898   5.65013   5.11643
899   5.66993   5.11643
900   5.63819   5.09063
901   5.56711   5.09063
902   5.67552   5.09063
903   5.67552   5.09063
904   5.67552   5.09063
905   5.51954   5.09063
906   5.39766   5.09063
907   5.56306   5.09063
908   5.56442   5.09063
909   5.46386   5.09063
910   5.37399   5.09063
911   5.41733   5.09063
912   5.33905   5.09063
913   5.32295   5.09063
914   5.30269   5.09063
915   5.26563   5.09063
916   5.27118   5.09063
917   5.24055   5.09063
918   5.24225   5.09063
919   5.22272   5.09063
920   5.20259   5.07284
921   5.16454   5.07284
922   5.17442   5.07284
923   5.25341   5.07284
924   5.32672   5.07284
925   5.34141   5.07284
926   5.3981   5.07284
927   5.41376   5.07284
928   5.42661   5.07284
929   5.59408   5.07284
930   5.61384   5.07284
931   5.57164   5.07284
932   5.49832   5.07284
933   5.47764   5.07284
934   5.42109   5.07284
935   5.38186   5.07284
936   5.22322   5.07284
937   5.24911   5.07284
938   5.35024   5.07284
939   5.24289   5.07284
940   5.28221   5.07284
941   5.15999   5.07284
942   5.18225   5.07284
943   5.18805   5.07284
944   5.39331   5.07284
945   5.41447   5.07284
946   5.41956   5.07284
947   5.55661   5.07284
948   5.61054   5.07284
949   5.56956   5.07284
950   5.57378   5.07284
951   5.61305   5.07284
952   5.48234   5.07284
953   5.58974   5.07284
954   5.50473   5.07284
955   5.41802   5.07284
956   5.41802   5.07284
957   5.41238   5.07284
958   5.4692   5.07284
959   5.50172   5.07284
960   5.38244   5.07284
961   5.45261   5.07284
962   5.51019   5.07284
963   5.52144   5.07284
964   5.37263   5.07284
965   5.39211   5.07284
966   5.41084   5.07284
967   5.42353   5.07284
968   5.25771   5.07284
969   5.26481   5.07284
970   5.26481   5.07284
971   5.2235   5.07284
972   5.29895   5.07284
973   5.29973   5.07284
974   5.37783   5.07284
975   5.25221   5.07284
976   5.24282   5.07284
977   5.23123   5.07284
978   5.41958   5.07284
979   5.37976   5.07284
980   5.30263   5.07284
981   5.53959   5.07284
982   5.54344   5.07284
983   5.61769   5.07284
984   5.69182   5.07284
985   5.43696   5.07284
986   5.41998   5.07284
987   5.28672   5.07284
988   5.28672   5.07284
989   5.29927   5.07284
990   5.23399   5.07284
991   5.38763   5.07284
992   5.38763   5.07284
993   5.30545   5.07284
994   5.31621   5.07284
995   5.35052   5.07284
996   5.30046   5.07284
997   5.35835   5.07284
998   5.37346   5.07284
999   5.30224   5.07284
1000   5.30224   5.07284
