BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         347    -5.58669    -5.61789  0.00999698
         348     -5.5956    -5.61783  0.00996846
         349    -5.54213    -5.61761  0.00994225
         350    -5.48325    -5.61723  0.00992126
         351    -5.64312     -5.6173  0.00989327
         352    -5.55225    -5.61711  0.00986688
         353    -5.51062    -5.61681  0.00984354
         354    -5.57308    -5.61669  0.00981651
         355    -5.62732    -5.61672  0.00978891
         356    -5.59246    -5.61665  0.00976165
         357    -5.62417    -5.61667  0.00973433
         358      -5.616    -5.61667  0.00970714
         359    -5.51894     -5.6164  0.00968391
         360     -5.4934    -5.61606  0.00966304
         361    -5.43135    -5.61554  0.00964981
         362    -5.43779    -5.61505  0.00963564
         363    -5.39778    -5.61446  0.00962766
         364    -5.37192    -5.61379  0.00962424
         365      -5.337    -5.61303   0.0096277
         366    -5.31882    -5.61223   0.0096349
         367    -5.37319    -5.61158  0.00963063
         368    -5.32602     -5.6108  0.00963567
         369     -5.4023    -5.61023  0.00962611
         370    -5.40528    -5.60968  0.00961602
         371    -5.43599    -5.60921  0.00960149
         372    -5.44772    -5.60878  0.00958549
         373    -5.38338    -5.60817  0.00957882
         374    -5.44421    -5.60774  0.00956324
         375    -5.37902    -5.60713  0.00955716
         376    -5.38731    -5.60654  0.00954961
         377    -5.34841    -5.60586  0.00954879
         378    -5.47954    -5.60552  0.00952938
         379    -5.42022    -5.60503  0.00951677
         380    -5.46365    -5.60466  0.00949899
         381    -5.41292    -5.60416  0.00948738
         382    -5.29389    -5.60335  0.00949725
         383    -5.43272     -5.6029   0.0094829
         384    -5.51035    -5.60266  0.00946127
         385     -5.4661     -5.6023  0.00944334
         386    -5.49545    -5.60203  0.00942293
         387    -5.44634    -5.60163  0.00940716
         388    -5.44906    -5.60123  0.00939113
         389      -5.511      -5.601  0.00936986
         390    -5.49311    -5.60072  0.00934991
         391    -5.44973    -5.60034  0.00933397
         392    -5.49491    -5.60007  0.00931403
         393    -5.69721    -5.60032  0.00929361
         394    -5.60949    -5.60034  0.00927006
         395    -5.61594    -5.60038  0.00924667
         396    -5.65496    -5.60052  0.00922435
         397    -5.50886    -5.60029    0.009204
         398    -5.56317    -5.60019  0.00918135
         399    -5.44863    -5.59981  0.00916619
         400    -5.55174    -5.59969  0.00914406
         401    -5.50798    -5.59946  0.00912412
         402    -5.47245    -5.59915  0.00910689
         403      -5.446    -5.59877  0.00909222
         404    -5.39866    -5.59827   0.0090832
         405    -5.43589    -5.59787  0.00906961
         406    -5.39897    -5.59738   0.0090605
         407    -5.36633    -5.59681    0.009056
         408    -5.43544    -5.59642  0.00904244
         409    -5.41445    -5.59597  0.00903127
         410    -5.39439    -5.59548  0.00902262
         411    -5.35539     -5.5949  0.00901955
         412    -5.36339    -5.59434  0.00901515
         413    -5.36931    -5.59379  0.00900977
         414    -5.36946    -5.59325  0.00900429
         415    -5.41541    -5.59282  0.00899278
         416    -5.48978    -5.59257  0.00897457
         417     -5.5319    -5.59243  0.00895423
         418    -5.50957    -5.59223    0.008935
         419    -5.56009    -5.59215  0.00891401
         420    -5.51466    -5.59197  0.00889469
         421    -5.49137    -5.59173  0.00887677
         422    -5.40327    -5.59128  0.00886697
         423    -5.47115      -5.591  0.00885055
         424    -5.49469    -5.59077  0.00883259
         425    -5.47224    -5.59049  0.00881621
         426    -5.43705    -5.59013  0.00880287
         427    -5.43431    -5.58977  0.00878981
         428    -5.41542    -5.58936  0.00877871
         429     -5.4343      -5.589  0.00876569
         430    -5.42051    -5.58861  0.00875405
         431    -5.51774    -5.58844  0.00873529
         432    -5.47793    -5.58819  0.00871881
         433    -5.44681    -5.58786  0.00870479
         434    -5.40668    -5.58744  0.00869473
         435    -5.40556    -5.58702  0.00868479
         436    -5.39216    -5.58658  0.00867637
         437    -5.40529    -5.58616  0.00866642
         438    -5.39175    -5.58572    0.008658
         439    -5.35376    -5.58519  0.00865438
         440    -5.36574    -5.58469  0.00864907
         441     -5.4433    -5.58437   0.0086354
         442    -5.44237    -5.58405  0.00862184
         443    -5.44594    -5.58374  0.00860801
         444    -5.52212     -5.5836  0.00858974
         445    -5.55451    -5.58353  0.00857069
         446    -5.52396     -5.5834  0.00855251
         447    -5.49283     -5.5832  0.00853578
         448    -5.57703    -5.58318  0.00851674
         449    -5.58533    -5.58319  0.00849777
         450    -5.60039    -5.58323  0.00847897
         451    -5.55132    -5.58316  0.00846047
         452     -5.5506    -5.58308  0.00844205
         453    -5.54237    -5.58299   0.0084239
         454    -5.50698    -5.58283  0.00840701
         455    -5.61138    -5.58289  0.00838876
         456     -5.6379    -5.58301  0.00837123
         457    -5.55274    -5.58294  0.00835318
         458    -5.53941    -5.58285  0.00833548
         459    -5.46031    -5.58258   0.0083216
         460    -5.42963    -5.58225  0.00831014
         461     -5.5116     -5.5821  0.00829353
         462    -5.59304    -5.58212  0.00827561
         463    -5.57985    -5.58211  0.00825774
         464     -5.4879    -5.58191  0.00824244
         465    -5.58579    -5.58192  0.00822472
         466    -5.55722    -5.58187  0.00820724
         467    -5.52279    -5.58174  0.00819064
         468    -5.55778    -5.58169   0.0081733
         469    -5.61627    -5.58176   0.0081562
         470     -5.6285    -5.58186  0.00813946
         471    -5.56682    -5.58183  0.00812224
         472    -5.48826    -5.58163  0.00810745
         473    -5.52013     -5.5815  0.00809135
         474    -5.46168    -5.58125  0.00807823
         475    -5.54207    -5.58117  0.00806164
         476    -5.50242      -5.581   0.0080464
         477     -5.4034    -5.58063  0.00803815
         478    -5.36964    -5.58019  0.00803344
         479    -5.49924    -5.58002  0.00801844
         480    -5.58699    -5.58003  0.00800175
         481    -5.59251    -5.58006  0.00798516
         482     -5.6297    -5.58016  0.00796926
         483    -5.67134    -5.58035  0.00795499
         484    -5.70553    -5.58061  0.00794276
         485    -5.63092    -5.58071  0.00792706
         486    -5.59844    -5.58075  0.00791083
         487    -5.64585    -5.58088  0.00789572
         488    -5.71068    -5.58115  0.00788402
         489      -5.656     -5.5813  0.00786938
         490    -5.60737    -5.58136   0.0078535
         491    -5.59367    -5.58138  0.00783755
         492    -5.58679    -5.58139  0.00782162
         493    -5.55059    -5.58133  0.00780601
         494    -5.45689    -5.58108  0.00779427
         495    -5.50704    -5.58093  0.00777996
         496    -5.57449    -5.58091  0.00776428
         497    -5.56399    -5.58088  0.00774874
         498    -5.51447    -5.58075  0.00773432
         499    -5.53439    -5.58065  0.00771938
         500     -5.5639    -5.58062  0.00770402
         501    -5.50358    -5.58047  0.00769017
         502    -5.40352    -5.58011  0.00768293
         503    -5.43806    -5.57983  0.00767284
         504    -5.40541    -5.57949  0.00766542
         505    -5.43957    -5.57921  0.00765525
         506    -5.45579    -5.57897    0.007644
         507    -5.41342    -5.57864   0.0076359
         508    -5.41393    -5.57831  0.00762775
         509    -5.44522    -5.57805  0.00761724
         510    -5.41388    -5.57773   0.0076091
         511    -5.36551    -5.57732  0.00760554
         512    -5.43139    -5.57703  0.00759602
         513     -5.5383    -5.57696  0.00758159
         514    -5.50882    -5.57682    0.007568
         515    -5.70875    -5.57708  0.00755764
         516    -5.65908    -5.57724  0.00754466
         517    -5.53575    -5.57716   0.0075305
         518    -5.62877    -5.57726  0.00751662
         519    -5.57589    -5.57725  0.00750213
         520      -5.554    -5.57721  0.00748784
         521    -5.48311    -5.57703  0.00747565
         522    -5.45414    -5.57679  0.00746503
         523    -5.48106    -5.57661    0.007453
         524    -5.42711    -5.57633  0.00744424
         525    -5.42323    -5.57603  0.00743577
         526    -5.42849    -5.57575  0.00742692
         527    -5.42798    -5.57547  0.00741812
         528    -5.41406    -5.57517  0.00741037
         529    -5.45752    -5.57494  0.00739969
         530    -5.41293    -5.57464  0.00739204
         531    -5.27736    -5.57408  0.00739929
         532    -5.25806    -5.57349  0.00740919
         533     -5.3998    -5.57316  0.00740245
         534     -5.4541    -5.57294  0.00739195
         535    -5.54493    -5.57288  0.00737832
         536    -5.55064    -5.57284  0.00736467
         537    -5.52032    -5.57274   0.0073516
         538    -5.51113    -5.57263  0.00733883
         539    -5.55644     -5.5726  0.00732527
         540     -5.4795    -5.57243  0.00731374
         541    -5.56211    -5.57241  0.00730024
         542    -5.48027    -5.57224  0.00728875
         543    -5.50561    -5.57212  0.00727636
         544    -5.38795    -5.57178  0.00727086
         545    -5.34111    -5.57135  0.00726983
         546    -5.46557    -5.57116  0.00725909
         547    -5.45384    -5.57095  0.00724899
         548    -5.43535     -5.5707  0.00723998
         549    -5.48845    -5.57055  0.00722835
         550    -5.46882    -5.57036  0.00721757
         551    -5.46808    -5.57018  0.00720686
         552    -5.43602    -5.56993   0.0071979
         553    -5.39955    -5.56963  0.00719147
         554    -5.35765    -5.56924  0.00718866
         555     -5.3565    -5.56886  0.00718592
         556    -5.40861    -5.56857  0.00717878
