N  Half_pop_ave        L
900 93.6595 89.5792
901 91.5378 89.5792
902 91.6571 89.5792
903 91.8497 89.5792
904 91.7343 89.5639
905 91.8747 89.5639
906 92.0308 89.5639
907 92.1036 89.5639
908 92.2672 89.5639
909 94.1949 89.5639
910 93.1652 89.5639
911 93.4442 88.1852
912 93.6405 88.1852
913 93.996 88.1852
914 95.1308 88.1852
915 93.4267 88.1852
916 93.3316 88.1852
917 92.4139 88.1852
918 93.1749 88.1852
919 93.3563 88.1852
920 93.371 88.1852
921 91.4952 88.1852
922 90.2041 88.1852
923 89.7275 88.1852
924 89.8484 88.1852
925 89.4994 88.1852
926 89.8032 88.1852
927 89.91 88.1852
928 89.1803 88.1852
929 89.366 88.1852
930 90.1773 88.1852
931 90.3189 88.1852
932 90.4559 88.1852
933 89.8101 88.1852
934 90.0221 88.1852
935 90.7449 88.1852
936 90.979 88.1852
937 91.1896 88.1852
938 91.988 88.1852
939 92.1352 88.1852
940 90.1498 88.1852
941 90.3188 88.1852
942 90.1419 88.1852
943 90.2509 88.1852
944 88.8216 88.1852
945 88.8922 88.1852
946 88.9691 88.1852
947 89.6338 88.1852
948 89.8891 88.1852
949 89.9915 88.1852
950 90.4769 88.1852
951 91.5812 88.1852
952 91.6537 88.1852
953 90.9185 88.1852
954 91.0708 88.1852
955 91.2827 88.1852
956 91.6292 88.1852
957 91.2121 88.1852
958 91.55 88.1852
959 91.6562 88.1852
960 91.989 88.1852
961 92.0025 88.1852
962 92.5809 88.1852
963 90.9592 88.1852
964 91.4711 88.1852
965 91.6833 88.0968
966 91.8653 88.0968
967 91.7388 88.0968
968 91.3492 88.0968
969 91.2492 88.0968
970 91.269 88.0968
971 91.5453 88.0968
972 91.8074 88.0968
973 92.1205 88.0968
974 92.7128 88.0968
975 91.8148 88.0968
976 92.2265 88.0968
977 92.5022 88.0968
978 92.4774 88.0968
979 92.517 88.0968
980 92.1559 88.0968
981 92.2573 88.0968
982 92.0715 88.0968
983 92.8703 88.0968
984 91.5507 88.0968
985 90.9235 88.0968
986 91.3716 88.0968
987 91.6471 88.0968
988 92.6923 88.0968
989 93.5396 88.0968
990 93.8518 88.0968
991 92.5703 88.0968
992 92.6692 88.0968
993 92.7654 88.0968
994 93.6089 88.0968
995 93.7944 88.0968
996 96.1988 88.0968
997 96.2229 88.0968
998 96.4655 88.0968
999 96.7178 88.0968
1000 96.8357 88.0968
1001 96.8804 88.0968
1002 94.9794 88.0968
1003 94.4505 88.0968
1004 94.7782 88.0968
1005 96.1547 88.0968
1006 96.1547 88.0968
1007 96.6135 88.0968
1008 96.8046 88.0968
1009 95.2921 88.0968
1010 95.5001 88.0968
1011 92.404 88.0968
1012 90.2584 88.0968
1013 90.5564 88.0968
1014 90.5269 88.0968
1015 90.7806 88.0968
1016 92.2177 88.0968
1017 92.4249 88.0968
1018 91.1074 88.0968
1019 90.9097 88.0968
1020 91.388 88.0968
1021 91.0884 88.0968
1022 88.6187 88.0968
1023 88.7091 88.0968
1024 90.4816 88.0968
1025 90.6437 88.0968
1026 90.7196 88.0968
1027 90.9432 88.0968
1028 90.7463 88.0968
1029 91.3884 88.0968
1030 90.4805 88.0968
1031 91.4506 88.0968
1032 91.3912 88.0968
1033 91.3912 88.0968
1034 91.5575 88.0968
1035 90.3326 87.7807
1036 90.3919 87.7807
1037 91.9494 87.7807
1038 91.7197 87.7807
1039 92.0425 86.8286
1040 90.616 86.8286
1041 90.7291 86.8286
1042 90.9626 86.8286
1043 90.864 86.8286
1044 92.9371 86.8286
1045 93.1158 86.8286
1046 92.0916 86.177
1047 92.7103 86.177
1048 93.1777 86.177
1049 93.24 86.177
1050 93.28 86.177
1051 92.8927 86.177
1052 90.6211 86.177
1053 90.3327 86.177
1054 90.4181 86.177
1055 89.0077 86.177
1056 89.6952 86.177
1057 89.8008 86.177
1058 89.2288 86.177
1059 89.3199 86.177
1060 89.4036 86.177
1061 89.1463 86.177
1062 89.19 86.177
1063 89.3466 86.177
1064 88.7729 86.177
1065 88.7729 86.177
1066 88.6729 86.177
1067 88.0291 86.177
1068 88.1434 86.177
1069 88.1662 86.177
1070 88.3485 86.177
1071 88.5804 86.177
1072 88.8395 86.177
1073 87.9914 86.177
1074 88.1259 85.7697
1075 87.0801 85.7697
1076 88.3596 85.7697
1077 88.4801 85.7697
1078 89.9498 85.7668
1079 89.9996 85.7668
1080 88.689 85.7668
1081 89.7476 85.7668
1082 89.9295 85.7668
1083 89.3029 85.7668
1084 87.8558 85.7668
1085 88.1445 85.7668
1086 88.2282 85.7668
1087 88.717 85.7668
1088 89.4254 85.7668
1089 88.0385 85.7668
1090 87.3211 85.7668
1091 87.4634 85.7668
1092 87.7871 85.7668
1093 88.3006 85.7668
1094 88.093 85.7668
1095 88.3342 85.7668
1096 88.5061 85.7668
1097 89.0086 85.7668
1098 89.9618 85.7668
1099 88.3004 85.7668
1100 86.1371 85.7668
1101 86.4335 85.7668
1102 86.4335 85.7668
1103 87.4735 85.7668
1104 87.7169 85.7668
1105 87.5634 85.7668
1106 87.7701 85.7668
1107 87.8904 85.7668
1108 88.0634 85.5995
1109 89.0983 85.5995
1110 88.547 85.5995
1111 88.711 85.5995
1112 86.962 85.5995
1113 88.342 85.5995
1114 88.5578 85.5995
1115 86.8167 85.5995
1116 87.0257 85.5995
1117 86.5208 85.5995
1118 86.9073 85.5995
1119 87.0265 85.5995
1120 88.7329 85.5995
1121 88.6983 85.5995
1122 88.7592 85.5995
1123 89.5375 85.4867
1124 89.9057 85.4867
1125 88.4092 85.4867
1126 90.0285 85.4867
1127 91.0671 85.4867
1128 91.4107 85.4867
1129 91.4905 85.4867
1130 91.5236 85.4867
1131 89.9558 85.4867
1132 90.1267 85.4867
1133 92.1709 85.4867
1134 92.1913 85.4867
1135 92.1913 85.4867
1136 92.4806 85.4867
1137 90.5208 85.4867
1138 90.742 85.4867
1139 89.7732 85.4867
1140 88.9414 85.4867
1141 89.0749 85.4867
1142 89.1499 85.4867
1143 89.338 85.4867
1144 89.4762 85.4867
1145 89.4521 85.4867
1146 90.1152 85.4867
1147 90.2258 85.4867
1148 89.7636 85.4867
1149 89.9948 85.4867
1150 89.4736 85.4867
1151 88.1209 85.4867
1152 88.1209 85.4867
1153 87.0841 85.0763
1154 87.1215 85.0763
1155 87.2439 85.0763
1156 87.5303 85.0763
1157 88.2631 85.0763
1158 88.3666 85.0763
1159 88.525 85.0763
1160 89.999 85.0763
1161 90.347 85.0763
1162 89.2596 85.0763
1163 89.3671 85.0763
1164 86.9758 85.0763
1165 87.2215 85.0763
1166 88.1043 85.0763
1167 88.2986 85.0763
1168 88.5015 85.0763
1169 89.3031 85.0763
1170 88.2657 85.0763
1171 88.219 85.0763
1172 88.219 85.0763
1173 88.1001 85.0763
1174 88.8986 85.0763
1175 89.2706 85.0763
1176 87.9206 85.0763
1177 86.8032 85.0763
1178 87.4411 85.0763
1179 87.705 85.0763
1180 86.8477 84.4364
1181 87.1804 84.4364
1182 87.434 84.4364
1183 87.6563 84.4364
1184 87.5879 84.4364
1185 89.0374 84.4364
1186 89.3868 84.4364
1187 89.8859 84.4364
1188 89.0678 84.4364
1189 87.4065 84.4364
1190 85.5313 84.4364
1191 86.1151 84.4364
1192 85.8316 84.4364
