BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         359     1.09291     1.28482   0.0155201
         360     1.09453     1.28429    0.015486
         361      1.0963     1.28377   0.0154518
         362     1.09821     1.28326   0.0154176
         363     1.10024     1.28275   0.0153834
         364     1.10237     1.28226   0.0153491
         365     1.10461     1.28177   0.0153148
         366     1.10692     1.28129   0.0152804
         367      1.1093     1.28082   0.0152459
         368     1.11174     1.28036   0.0152114
         369     1.11422     1.27991   0.0151769
         370     1.11673     1.27947   0.0151423
         371     1.11925     1.27904   0.0151076
         372     1.12177     1.27862   0.0150729
         373     1.12428     1.27821   0.0150382
         374     1.12678      1.2778   0.0150034
         375     1.12924      1.2774   0.0149686
         376     1.13167     1.27702   0.0149338
         377     1.13405     1.27664    0.014899
         378     1.13638     1.27627   0.0148642
         379     1.13864      1.2759   0.0148295
         380     1.14083     1.27555   0.0147947
         381     1.14295      1.2752     0.01476
         382     1.14498     1.27486   0.0147253
         383     1.14693     1.27452   0.0146906
         384     1.14879      1.2742    0.014656
         385     1.15054     1.27388   0.0146214
         386      1.1522     1.27356    0.014587
         387     1.15374     1.27325   0.0145525
         388     1.15517     1.27295   0.0145182
         389     1.15648     1.27265    0.014484
         390     1.15767     1.27235   0.0144498
         391     1.15871     1.27206   0.0144158
         392     1.15962     1.27178   0.0143819
         393     1.16037     1.27149   0.0143481
         394     1.16097     1.27121   0.0143144
         395      1.1614     1.27093   0.0142809
         396     1.16166     1.27066   0.0142475
         397     1.16174     1.27038   0.0142142
         398     1.16163     1.27011   0.0141811
         399     1.16134     1.26984   0.0141482
         400     1.16086     1.26956   0.0141155
         401     1.16018     1.26929   0.0140829
         402     1.15932     1.26902   0.0140505
         403     1.15826     1.26874   0.0140184
         404     1.15703     1.26847   0.0139864
         405     1.15563     1.26819   0.0139546
         406     1.15408     1.26791   0.0139231
         407     1.15239     1.26762   0.0138918
         408     1.15059     1.26734   0.0138607
         409     1.14869     1.26705   0.0138298
         410     1.14673     1.26675   0.0137992
         411     1.14473     1.26646   0.0137688
         412     1.14273     1.26616   0.0137387
         413     1.14074     1.26585   0.0137088
         414     1.13881     1.26555   0.0136791
         415     1.13696     1.26524   0.0136496
         416     1.13522     1.26492   0.0136204
         417     1.13361     1.26461   0.0135914
         418     1.13214     1.26429   0.0135626
         419     1.13083     1.26397   0.0135339
         420      1.1297     1.26365   0.0135055
         421     1.12873     1.26333   0.0134772
         422     1.12793     1.26301   0.0134491
         423     1.12728     1.26269   0.0134211
         424     1.12678     1.26237   0.0133933
         425      1.1264     1.26205   0.0133656
         426     1.12612     1.26173    0.013338
         427     1.12592     1.26141   0.0133106
         428     1.12578      1.2611   0.0132833
         429     1.12567     1.26078   0.0132561
         430     1.12555     1.26047    0.013229
         431     1.12542     1.26015    0.013202
         432     1.12524     1.25984   0.0131751
         433     1.12501     1.25953   0.0131484
         434     1.12469     1.25922   0.0131217
         435      1.1243     1.25891   0.0130952
         436      1.1238      1.2586   0.0130689
         437      1.1232     1.25829   0.0130426
         438      1.1225     1.25798   0.0130165
         439     1.12171     1.25767   0.0129906
         440     1.12082     1.25736   0.0129648
         441     1.11984     1.25705   0.0129391
         442     1.11878     1.25673   0.0129136
         443     1.11765     1.25642   0.0128883
         444     1.11646      1.2561   0.0128631
         445     1.11524     1.25579   0.0128381
         446     1.11397     1.25547   0.0128133
         447     1.11269     1.25515   0.0127886
         448     1.11141     1.25483   0.0127641
         449     1.11012     1.25451   0.0127397
         450     1.10885     1.25418   0.0127155
         451     1.10759     1.25386   0.0126915
         452     1.10637     1.25353   0.0126676
         453     1.10517      1.2532   0.0126439
         454     1.10401     1.25287   0.0126203
         455     1.10289     1.25255   0.0125968
         456     1.10181     1.25221   0.0125736
         457     1.10076     1.25188   0.0125504
         458     1.09975     1.25155   0.0125274
         459     1.09878     1.25122   0.0125045
         460     1.09784     1.25088   0.0124818
         461     1.09693     1.25055   0.0124592
         462     1.09605     1.25022   0.0124367
         463     1.09521     1.24988   0.0124143
         464     1.09439     1.24955   0.0123921
         465     1.09361     1.24921     0.01237
         466     1.09286     1.24888    0.012348
         467     1.09215     1.24854   0.0123261
         468     1.09149      1.2482   0.0123043
         469     1.09087     1.24787   0.0122827
         470     1.09032     1.24753   0.0122611
         471     1.08982      1.2472   0.0122397
         472      1.0894     1.24686   0.0122183
         473     1.08906     1.24653    0.012197
         474      1.0888      1.2462   0.0121758
         475     1.08863     1.24587   0.0121547
         476     1.08854     1.24554   0.0121337
         477     1.08853     1.24521   0.0121127
         478     1.08861     1.24488   0.0120918
         479     1.08877     1.24455   0.0120709
         480       1.089     1.24423   0.0120501
         481     1.08929     1.24391   0.0120294
         482     1.08963     1.24359   0.0120087
         483     1.08999     1.24327    0.011988
         484     1.09037     1.24295   0.0119674
         485     1.09075     1.24264   0.0119469
         486     1.09112     1.24233   0.0119263
         487     1.09145     1.24202   0.0119059
         488     1.09173     1.24171   0.0118855
         489     1.09194      1.2414   0.0118651
         490     1.09208      1.2411   0.0118448
         491     1.09212      1.2408   0.0118246
         492     1.09206     1.24049   0.0118044
         493     1.09187     1.24019   0.0117843
         494     1.09156     1.23989   0.0117643
         495     1.09111     1.23959   0.0117444
         496     1.09052     1.23929   0.0117245
         497     1.08979     1.23899   0.0117048
         498      1.0889     1.23869   0.0116852
         499     1.08786     1.23839   0.0116657
         500     1.08666     1.23808   0.0116463
         501     1.08531     1.23778    0.011627
         502      1.0838     1.23747   0.0116079
         503     1.08215     1.23716   0.0115889
         504     1.08035     1.23685   0.0115701
         505     1.07842     1.23654   0.0115515
         506     1.07635     1.23622    0.011533
         507     1.07418      1.2359   0.0115146
         508     1.07189     1.23558   0.0114965
         509     1.06952     1.23525   0.0114785
         510     1.06707     1.23492   0.0114608
         511     1.06456     1.23459   0.0114432
         512     1.06201     1.23425   0.0114258
         513     1.05944     1.23391   0.0114086
         514     1.05686     1.23357   0.0113916
         515     1.05429     1.23322   0.0113748
         516     1.05174     1.23287   0.0113582
         517     1.04925     1.23251   0.0113418
         518      1.0468     1.23215   0.0113256
         519     1.04442     1.23179   0.0113095
         520     1.04212     1.23143   0.0112936
         521     1.03989     1.23106    0.011278
         522     1.03775     1.23069   0.0112624
         523     1.03569     1.23032   0.0112471
         524     1.03371     1.22994   0.0112319
         525     1.03182     1.22956   0.0112168
