BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         481    -5.39039    -5.62138   0.0174918
         482    -5.39117    -5.62091    0.017462
         483    -5.39283    -5.62043   0.0174323
         484     -5.3943    -5.61997   0.0174025
         485    -5.39585     -5.6195   0.0173728
         486    -5.39715    -5.61905    0.017343
         487    -5.39862    -5.61859   0.0173133
         488    -5.40022    -5.61815   0.0172836
         489    -5.40208    -5.61771   0.0172539
         490     -5.4034    -5.61727   0.0172243
         491    -5.40492    -5.61684   0.0171946
         492    -5.40615    -5.61641    0.017165
         493    -5.40691    -5.61598   0.0171354
         494    -5.40795    -5.61556   0.0171059
         495    -5.40863    -5.61514   0.0170765
         496    -5.40893    -5.61473   0.0170471
         497      -5.409    -5.61431   0.0170178
         498    -5.40943     -5.6139   0.0169886
         499    -5.40959    -5.61349   0.0169595
         500    -5.40889    -5.61308   0.0169305
         501    -5.40823    -5.61267   0.0169017
         502    -5.40789    -5.61227   0.0168729
         503    -5.40653    -5.61186   0.0168443
         504    -5.40459    -5.61145   0.0168159
         505    -5.40254    -5.61103   0.0167877
         506    -5.39977    -5.61062   0.0167597
         507    -5.39765    -5.61019    0.016732
         508    -5.39528    -5.60977   0.0167044
         509    -5.39268    -5.60935    0.016677
         510    -5.38941    -5.60891   0.0166499
         511    -5.38624    -5.60848    0.016623
         512    -5.38364    -5.60804   0.0165963
         513    -5.38028     -5.6076   0.0165699
         514    -5.37632    -5.60715   0.0165438
         515    -5.37254    -5.60669   0.0165179
         516    -5.36853    -5.60623   0.0164924
         517     -5.3646    -5.60576   0.0164671
         518    -5.36003    -5.60529   0.0164421
         519     -5.3559    -5.60481   0.0164175
         520    -5.35208    -5.60432   0.0163931
         521      -5.348    -5.60383    0.016369
         522    -5.34411    -5.60333   0.0163452
         523    -5.34046    -5.60283   0.0163217
         524    -5.33644    -5.60232   0.0162984
         525    -5.33282    -5.60181   0.0162755
         526    -5.32916    -5.60129   0.0162528
         527    -5.32516    -5.60076   0.0162304
         528    -5.32158    -5.60024   0.0162083
         529    -5.31796     -5.5997   0.0161864
         530    -5.31462    -5.59916   0.0161648
         531    -5.31139    -5.59862   0.0161434
         532    -5.30842    -5.59808   0.0161223
         533    -5.30556    -5.59753   0.0161014
         534    -5.30296    -5.59698   0.0160807
         535        -5.3    -5.59642   0.0160602
         536    -5.29745    -5.59586   0.0160399
         537    -5.29486     -5.5953   0.0160198
         538    -5.29222    -5.59474       0.016
         539    -5.28985    -5.59417   0.0159803
         540     -5.2879    -5.59361   0.0159608
         541    -5.28593    -5.59304   0.0159414
         542    -5.28411    -5.59247   0.0159222
         543    -5.28245     -5.5919   0.0159031
         544    -5.28112    -5.59133   0.0158841
         545    -5.28012    -5.59075   0.0158652
         546    -5.27888    -5.59018   0.0158464
         547    -5.27816    -5.58961   0.0158277
         548    -5.27783    -5.58904   0.0158091
         549    -5.27744    -5.58848   0.0157904
         550    -5.27823    -5.58791   0.0157718
         551    -5.27837    -5.58735   0.0157532
         552     -5.2785    -5.58679   0.0157346
         553    -5.27921    -5.58623    0.015716
         554    -5.27975    -5.58568   0.0156973
         555    -5.28118    -5.58513   0.0156786
         556    -5.28259    -5.58459   0.0156599
         557    -5.28458    -5.58405    0.015641
         558    -5.28715    -5.58352    0.015622
         559    -5.28953    -5.58299   0.0156029
         560    -5.29262    -5.58247   0.0155837
         561    -5.29535    -5.58196   0.0155643
         562    -5.29771    -5.58146   0.0155448
         563    -5.30135    -5.58096   0.0155252
         564    -5.30459    -5.58047   0.0155054
         565    -5.30818    -5.57999   0.0154854
         566    -5.31239    -5.57951   0.0154653
         567    -5.31646    -5.57905    0.015445
         568    -5.32038    -5.57859   0.0154245
         569    -5.32474    -5.57815   0.0154038
         570    -5.32966    -5.57771    0.015383
         571    -5.33424    -5.57729   0.0153619
         572    -5.33892    -5.57687   0.0153407
         573    -5.34382    -5.57646   0.0153194
         574    -5.34881    -5.57607   0.0152978
         575     -5.3534    -5.57568   0.0152761
         576    -5.35849     -5.5753   0.0152542
         577    -5.36363    -5.57493   0.0152322
         578    -5.36882    -5.57458     0.01521
         579    -5.37389    -5.57423   0.0151877
         580    -5.37946     -5.5739   0.0151652
         581     -5.3846    -5.57357   0.0151426
         582    -5.38963    -5.57325   0.0151199
         583    -5.39515    -5.57295   0.0150971
         584    -5.40056    -5.57265   0.0150741
         585    -5.40617    -5.57237    0.015051
         586    -5.41197    -5.57209   0.0150278
         587    -5.41768    -5.57183   0.0150045
         588    -5.42313    -5.57158   0.0149811
         589    -5.42895    -5.57134   0.0149576
         590    -5.43452     -5.5711   0.0149341
         591    -5.44016    -5.57088   0.0149105
         592    -5.44555    -5.57067   0.0148868
         593    -5.45114    -5.57047    0.014863
         594    -5.45708    -5.57028   0.0148392
         595    -5.46321     -5.5701   0.0148154
         596    -5.46982    -5.56993   0.0147915
         597    -5.47554    -5.56977   0.0147676
         598    -5.48141    -5.56962   0.0147436
         599     -5.4871    -5.56949   0.0147196
         600    -5.49274    -5.56936   0.0146957
         601    -5.49892    -5.56924   0.0146717
         602    -5.50471    -5.56913   0.0146477
         603    -5.51099    -5.56904   0.0146237
         604    -5.51652    -5.56895   0.0145998
         605    -5.52189    -5.56887   0.0145758
         606    -5.52677     -5.5688    0.014552
         607    -5.53099    -5.56874   0.0145281
         608    -5.53558    -5.56869   0.0145043
         609    -5.53947    -5.56864   0.0144806
         610    -5.54325     -5.5686   0.0144569
         611    -5.54706    -5.56856   0.0144333
         612    -5.55043    -5.56853   0.0144097
         613    -5.55351    -5.56851   0.0143863
         614    -5.55674    -5.56849   0.0143628
         615    -5.55921    -5.56847   0.0143395
         616    -5.56154    -5.56846   0.0143162
         617    -5.56358    -5.56845    0.014293
         618    -5.56562    -5.56845   0.0142699
         619    -5.56724    -5.56845   0.0142468
         620    -5.56858    -5.56845   0.0142239
         621    -5.56967    -5.56845   0.0142009
         622    -5.57037    -5.56845   0.0141781
         623    -5.57024    -5.56846   0.0141554
         624    -5.57035    -5.56846   0.0141327
         625    -5.57058    -5.56846   0.0141101
         626    -5.57065    -5.56847   0.0140875
         627    -5.57072    -5.56847   0.0140651
         628    -5.57036    -5.56847   0.0140427
         629    -5.56974    -5.56847   0.0140203
         630    -5.56934    -5.56848   0.0139981
         631    -5.56901    -5.56848   0.0139759
         632    -5.56879    -5.56848   0.0139538
         633    -5.56822    -5.56848   0.0139317
         634    -5.56762    -5.56848   0.0139098
         635    -5.56656    -5.56847   0.0138879
         636    -5.56549    -5.56847    0.013866
         637    -5.56487    -5.56846   0.0138443
         638    -5.56441    -5.56846   0.0138226
         639    -5.56336    -5.56845   0.0138009
         640    -5.56277    -5.56844   0.0137794
         641    -5.56204    -5.56843   0.0137579
         642    -5.56103    -5.56842   0.0137365
         643    -5.56048    -5.56841   0.0137151
         644     -5.5598    -5.56839   0.0136938
         645    -5.55913    -5.56838   0.0136726
         646    -5.55848    -5.56836   0.0136514
         647    -5.55724    -5.56835   0.0136303
         648    -5.55663    -5.56833   0.0136093
         649    -5.55634    -5.56831   0.0135884
         650    -5.55547    -5.56829   0.0135675
         651    -5.55493    -5.56827   0.0135466
         652    -5.55413    -5.56825   0.0135259
         653    -5.55398    -5.56822   0.0135052
         654    -5.55434     -5.5682   0.0134846
         655     -5.5543    -5.56818    0.013464
         656    -5.55389    -5.56816   0.0134435
         657      -5.554    -5.56814    0.013423
         658     -5.5536    -5.56812   0.0134026
         659    -5.55358    -5.56809   0.0133823
         660    -5.55321    -5.56807   0.0133621
         661    -5.55353    -5.56805   0.0133419
         662    -5.55365    -5.56803   0.0133217
         663    -5.55386    -5.56801   0.0133017
         664     -5.5546    -5.56799   0.0132816
