BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         618     1.80845     1.82283   0.0147455
         619     1.80966      1.8228   0.0147217
         620     1.81085     1.82278    0.014698
         621     1.81201     1.82277   0.0146744
         622     1.81316     1.82275   0.0146508
         623     1.81427     1.82274   0.0146273
         624     1.81536     1.82273   0.0146038
         625     1.81641     1.82272   0.0145805
         626     1.81742     1.82271   0.0145572
         627     1.81837      1.8227    0.014534
         628     1.81926      1.8227   0.0145108
         629     1.82007     1.82269   0.0144877
         630      1.8208     1.82269   0.0144647
         631     1.82142     1.82269   0.0144418
         632     1.82194     1.82268    0.014419
         633     1.82234     1.82268   0.0143962
         634     1.82261     1.82268   0.0143735
         635     1.82274     1.82268   0.0143509
         636     1.82274     1.82268   0.0143283
         637      1.8226     1.82268   0.0143058
         638     1.82231     1.82268   0.0142834
         639     1.82188     1.82268    0.014261
         640     1.82131     1.82268   0.0142387
         641     1.82062     1.82268   0.0142165
         642      1.8198     1.82267   0.0141944
         643     1.81886     1.82267   0.0141723
         644     1.81782     1.82266   0.0141503
         645     1.81669     1.82265   0.0141284
         646     1.81549     1.82264   0.0141065
         647     1.81424     1.82263   0.0140847
         648     1.81294     1.82261    0.014063
         649     1.81161     1.82259   0.0140413
         650     1.81027     1.82258   0.0140197
         651     1.80892     1.82255   0.0139982
         652     1.80759     1.82253   0.0139768
         653     1.80627     1.82251   0.0139554
         654     1.80498     1.82248   0.0139341
         655     1.80373     1.82245   0.0139128
         656     1.80252     1.82242   0.0138916
         657     1.80134     1.82239   0.0138705
         658      1.8002     1.82235   0.0138495
         659     1.79909     1.82232   0.0138285
         660     1.79802     1.82228   0.0138076
         661     1.79697     1.82224   0.0137868
         662     1.79595      1.8222    0.013766
         663     1.79495     1.82216   0.0137453
         664     1.79397     1.82212   0.0137247
         665     1.79299     1.82208   0.0137041
         666     1.79202     1.82203   0.0136836
         667     1.79107     1.82199   0.0136632
         668     1.79012     1.82194   0.0136428
         669     1.78918     1.82189   0.0136225
         670     1.78826     1.82184   0.0136023
         671     1.78736     1.82179   0.0135821
         672     1.78649     1.82173    0.013562
         673     1.78567     1.82168   0.0135419
         674      1.7849     1.82163   0.0135219
         675      1.7842     1.82157    0.013502
         676     1.78359     1.82151   0.0134822
         677     1.78308     1.82146   0.0134624
         678      1.7827      1.8214   0.0134426
         679     1.78245     1.82134    0.013423
         680     1.78236     1.82129   0.0134033
         681     1.78245     1.82123   0.0133838
         682     1.78272     1.82117   0.0133643
         683     1.78321     1.82112   0.0133448
         684     1.78391     1.82106   0.0133254
         685     1.78484     1.82101   0.0133061
         686       1.786     1.82096   0.0132868
         687     1.78741     1.82091   0.0132675
         688     1.78906     1.82086   0.0132483
         689     1.79095     1.82082   0.0132292
         690     1.79309     1.82078   0.0132101
