VELOCITY:     AVE_POFV:        ERROR:
     1.73333        9.93     10.3824    0.462751
           2      11.616     12.0128    0.870201
     2.26667      11.795     10.6789    0.388478
     2.53333      10.642     11.8134    0.605289
         2.8       9.609     9.55543    0.363569
     3.06667        6.66     8.20729    0.435119
     3.33333        5.99     5.70836     0.31752
         3.6       1.094     3.96386    0.329415
     3.86667       3.278     3.29386    0.395887
     4.13333       3.907     2.75057    0.283566
         4.4       1.184     1.51493    0.234868
     4.66667       1.285    0.846429    0.175765
     4.93333       1.272    0.615571    0.149837
         5.2       0.954    0.278429   0.0756878
     5.46667       0.008    0.196357   0.0576641
     5.73333       0.014    0.149857   0.0633715
           6       0.028   0.0696429   0.0554635
     6.26667        0.43   0.0313571   0.0295558
     6.53333       0.301    0.120071   0.0722672
         6.8           0   0.0977857   0.0642268
     7.06667           0  0.00414286  0.00399216
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333        0.45   0.0794667    0.033923
         0.4       1.684      0.9488    0.157871
    0.666667       4.486     3.10327    0.414512
    0.933333       6.155     4.05987    0.359856
         1.2       5.631     8.61147    0.619108
     1.46667      10.039      9.0882    0.483039
     1.73333       7.674     10.2018    0.465796
           2      11.832     12.0007    0.812271
     2.26667      11.885     10.7593    0.370807
     2.53333       8.486     11.5915    0.604217
         2.8      10.213     9.59927    0.341964
     3.06667       6.839     8.11607    0.415562
     3.33333       8.127      5.8696    0.334799
         3.6       2.752     3.88307    0.317206
     3.86667       3.349     3.29753    0.369512
     4.13333       3.306      2.7876    0.267068
         4.4       1.548     1.51713     0.21922
     4.66667       2.307      0.9438    0.189105
     4.93333       0.075    0.579533    0.144117
         5.2       0.062       0.264   0.0720041
     5.46667       0.889    0.242533   0.0699047
     5.73333       0.211    0.153933   0.0592777
           6           0       0.065   0.0519599
     6.26667           0   0.0292667   0.0276593
     6.53333           0    0.112067   0.0678913
         6.8           0   0.0912667    0.060275
     7.06667           0  0.00386667  0.00373555
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.132     0.08275   0.0319613
         0.4       1.852     1.00525    0.157774
    0.666667       5.831     3.27375    0.422211
    0.933333       7.106     4.25025    0.384442
         1.2       5.905     8.44231    0.603079
     1.46667       7.788     9.00694    0.459634
     1.73333       9.531     10.1599    0.438566
           2      11.327     11.9586    0.762595
     2.26667       8.661     10.6282    0.370097
     2.53333       8.991      11.429    0.587908
         2.8       11.25     9.70244    0.335794
     3.06667       8.472     8.13831    0.390185
     3.33333       7.234     5.95487    0.324553
         3.6       3.096     3.83387    0.301171
     3.86667       3.131     3.28713    0.346564
     4.13333        2.03     2.74025     0.25454
         4.4       1.321     1.50488    0.205862
     4.66667       2.831     1.06175    0.210886
     4.93333       0.277    0.560625    0.136344
         5.2       0.074    0.252125    0.068476
     5.46667       0.482      0.2575   0.0671187
     5.73333       0.604    0.182062   0.0618881
           6       0.074   0.0655625   0.0487154
     6.26667           0   0.0274375    0.025991
     6.53333           0    0.105062   0.0640083
         6.8           0   0.0855625    0.056777
     7.06667           0    0.003625  0.00350989
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.184   0.0887059   0.0306312
         0.4       2.042     1.06624    0.159846
    0.666667       7.212     3.50541    0.456527
    0.933333       6.006     4.35353    0.375444
         1.2       7.324     8.37653     0.57118
     1.46667       8.254     8.96265    0.434725
     1.73333       7.322     9.99294    0.443402
           2      11.592     11.9371    0.718041
     2.26667       9.528     10.5635     0.35394
     2.53333        9.95      11.342    0.559725
         2.8        6.16     9.49406    0.375166
     3.06667       9.638     8.22653    0.377073
     3.33333       8.234     6.08894    0.331999
         3.6        4.54     3.87541    0.286305
     3.86667        1.95     3.20847    0.334984
     4.13333         2.6       2.732      0.2397
         4.4       1.216     1.48788    0.194452
     4.66667       3.199     1.18747    0.232961
     4.93333       0.223    0.540765    0.129763
         5.2       0.027    0.238882   0.0657161
     5.46667        0.02    0.243529   0.0646082
     5.73333       0.729    0.214235   0.0660832
           6        0.05   0.0646471   0.0458584
     6.26667           0   0.0258235   0.0245122
     6.53333           0   0.0988824   0.0605408
         6.8           0   0.0805294   0.0536598
     7.06667           0  0.00341176   0.0033099
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.881    0.132722   0.0516402
         0.4       2.722     1.15822    0.175448
    0.666667       5.188     3.59889    0.440631
    0.933333       6.558       4.476    0.374028
         1.2       7.687     8.33822    0.540731
     1.46667      10.914     9.07106    0.423875
     1.73333       7.794     9.87078    0.435272
           2      11.736     11.9259    0.678237
     2.26667       7.821     10.4111    0.365602
     2.53333       7.566     11.1322    0.566578
         2.8       6.532      9.3295    0.388742
     3.06667       7.067     8.16211    0.361586
     3.33333       8.736       6.236    0.344588
         3.6       5.455     3.96317    0.283529
     3.86667       2.979     3.19572    0.316616
     4.13333       2.875     2.73994    0.226515
         4.4       1.381     1.48194     0.18374
     4.66667       3.008     1.28861    0.240976
     4.93333         0.6    0.544056    0.122595
         5.2       0.065    0.229222   0.0627712
     5.46667       0.364    0.250222   0.0613645
     5.73333       0.023    0.203611   0.0632601
           6       0.048   0.0637222   0.0433201
     6.26667           0   0.0243889   0.0231923
     6.53333           0   0.0933889   0.0574261
         6.8           0   0.0760556   0.0508649
     7.06667           0  0.00322222  0.00313144
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333         0.3    0.141526   0.0496672
         0.4       1.912     1.19789     0.17064
    0.666667       3.416     3.58926    0.417545
    0.933333      10.117     4.77289    0.457237
         1.2       7.353     8.28637    0.514752
     1.46667      10.051     9.12263    0.404692
     1.73333       9.024     9.82621    0.414639
           2       9.343     11.7899    0.656022
     2.26667       8.413     10.3059    0.361168
     2.53333       9.319     11.0368    0.544736
         2.8       6.529     9.18211    0.395238
     3.06667      10.009     8.25932     0.35538
     3.33333       6.595     6.25489     0.32697
         3.6       4.124     3.97163    0.268733
     3.86667       4.171     3.24705    0.304085
     4.13333       1.935     2.69758    0.218519
         4.4        2.24     1.52184    0.178349
     4.66667       1.149     1.28126    0.228405
     4.93333           0    0.515421     0.11944
