BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         318     2.01889     2.00532  0.00029892
         319     2.01907     2.00536 0.000301073
         320     2.01924     2.00541 0.000303239
         321     2.01942     2.00545 0.000305418
         322     2.01959      2.0055 0.000307612
         323     2.01977     2.00554 0.000309819
         324     2.01995     2.00558 0.000312041
         325     2.02014     2.00563 0.000314276
         326     2.02032     2.00567 0.000316526
         327      2.0205     2.00572 0.000318791
         328     2.02069     2.00577  0.00032107
         329     2.02088     2.00581 0.000323363
         330     2.02107     2.00586 0.000325671
         331     2.02126      2.0059 0.000327995
         332     2.02145     2.00595 0.000330333
         333     2.02165       2.006 0.000332686
         334     2.02184     2.00605 0.000335055
         335     2.02204     2.00609  0.00033744
         336     2.02224     2.00614 0.000339839
         337     2.02244     2.00619 0.000342255
         338     2.02264     2.00624 0.000344687
         339     2.02285     2.00629 0.000347134
         340     2.02305     2.00634 0.000349598
         341     2.02326     2.00639 0.000352078
         342     2.02347     2.00644 0.000354575
         343     2.02368     2.00649 0.000357089
         344      2.0239     2.00654 0.000359619
         345     2.02411     2.00659 0.000362166
         346     2.02433     2.00664 0.000364731
         347     2.02455     2.00669 0.000367313
         348     2.02477     2.00674 0.000369912
         349     2.02499     2.00679  0.00037253
         350     2.02522     2.00685 0.000375165
         351     2.02544      2.0069 0.000377818
         352     2.02567     2.00695 0.000380489
         353      2.0259     2.00701 0.000383179
         354     2.02614     2.00706 0.000385888
         355     2.02637     2.00712 0.000388616
         356     2.02661     2.00717 0.000391362
         357     2.02685     2.00723 0.000394128
         358     2.02709     2.00728 0.000396913
         359     2.02733     2.00734 0.000399718
         360     2.02758     2.00739 0.000402543
         361     2.02783     2.00745 0.000405388
         362     2.02808     2.00751 0.000408253
         363     2.02833     2.00756 0.000411139
         364     2.02859     2.00762 0.000414046
         365     2.02884     2.00768 0.000416973
         366      2.0291     2.00774 0.000419922
         367     2.02937      2.0078 0.000422892
         368     2.02963     2.00786 0.000425884
         369      2.0299     2.00792 0.000428898
         370     2.03017     2.00798 0.000431934
         371     2.03044     2.00804 0.000434992
         372     2.03071      2.0081 0.000438074
         373     2.03099     2.00816 0.000441178
         374     2.03127     2.00822 0.000444305
         375     2.03155     2.00828 0.000447455
         376     2.03184     2.00835  0.00045063
         377     2.03213     2.00841 0.000453828
         378     2.03242     2.00847  0.00045705
         379     2.03271     2.00854 0.000460297
         380     2.03301      2.0086 0.000463569
         381     2.03331     2.00867 0.000466865
         382     2.03361     2.00873 0.000470187
