n_block      H_average        errore
458 -0.442567 0.00348566
459 -0.442311 0.0034875
460 -0.442362 0.00348029
461 -0.442496 0.00347531
462 -0.442481 0.00346782
463 -0.442744 0.00347027
464 -0.442754 0.0034628
465 -0.442868 0.00345723
466 -0.442844 0.00344989
467 -0.443017 0.00344685
468 -0.443182 0.00344342
469 -0.443143 0.00343629
470 -0.443208 0.00342959
471 -0.443116 0.00342353
472 -0.443248 0.00341881
473 -0.443332 0.00341261
474 -0.443371 0.00340563
475 -0.443193 0.00340313
476 -0.443427 0.00340407
477 -0.443494 0.00339758
478 -0.443596 0.003392
479 -0.443897 0.00339826
480 -0.443894 0.00339117
481 -0.444081 0.00338931
482 -0.444109 0.00338238
483 -0.444162 0.00337579
484 -0.444318 0.00337243
485 -0.444285 0.00336562
486 -0.444479 0.00336427
487 -0.444517 0.00335757
488 -0.444559 0.00335094
489 -0.444538 0.00334414
490 -0.444704 0.00334146
491 -0.444818 0.0033366
492 -0.44476 0.00333033
493 -0.444823 0.00332418
494 -0.44499 0.00332162
495 -0.444715 0.0033263
496 -0.444826 0.00332147
497 -0.444613 0.00332162
498 -0.444666 0.00331537
499 -0.444559 0.00331045
500 -0.444795 0.00331219
501 -0.444711 0.00330664
502 -0.444583 0.00330251
503 -0.444725 0.00329897
504 -0.44489 0.00329655
505 -0.444839 0.00329041
506 -0.444738 0.00328543
507 -0.444717 0.00327902
508 -0.444619 0.003274
509 -0.444484 0.00327036
510 -0.444703 0.0032713
511 -0.444908 0.0032713
512 -0.444919 0.00326492
513 -0.444879 0.00325879
514 -0.444806 0.00325328
515 -0.444656 0.00325039
516 -0.444759 0.00324571
517 -0.444687 0.00324022
518 -0.444573 0.00323598
519 -0.444627 0.00323019
520 -0.44449 0.00322688
521 -0.444544 0.00322114
522 -0.444486 0.00321549
523 -0.444455 0.00320949
524 -0.444364 0.00320465
525 -0.444489 0.00320099
526 -0.444712 0.00320268
527 -0.444804 0.0031979
528 -0.444978 0.00319659
529 -0.445048 0.00319132
530 -0.44505 0.00318529
531 -0.444896 0.00318301
532 -0.444461 0.00320668
533 -0.444443 0.00320071
534 -0.444451 0.00319472
535 -0.444384 0.00318944
536 -0.44442 0.00318369
537 -0.444344 0.00317869
538 -0.444328 0.00317282
539 -0.444288 0.00316718
540 -0.444226 0.00316191
541 -0.444387 0.00316019
542 -0.444464 0.00315529
543 -0.444496 0.00314964
544 -0.444658 0.00314797
545 -0.444546 0.00314416
546 -0.44456 0.00313843
547 -0.44457 0.0031327
548 -0.444539 0.00312713
549 -0.444703 0.00312573
550 -0.444788 0.00312122
551 -0.444863 0.00311644
552 -0.445032 0.00311537
553 -0.444985 0.00311009
554 -0.445027 0.00310476
555 -0.444963 0.00309983
556 -0.445094 0.00309705
557 -0.445078 0.00309153
558 -0.444998 0.00308702
559 -0.445032 0.00308168
560 -0.445126 0.00307761
561 -0.445001 0.00307468
562 -0.445042 0.00306948
563 -0.445119 0.00306499
564 -0.445092 0.00305967
565 -0.445148 0.00305477
566 -0.445167 0.00304942
567 -0.445263 0.00304555
568 -0.445272 0.00304019
569 -0.445271 0.00303484
570 -0.445467 0.00303583
571 -0.445469 0.00303051
572 -0.44557 0.0030269
573 -0.445608 0.00302185
574 -0.445729 0.003019
575 -0.445841 0.00301582
576 -0.445481 0.00303203
577 -0.445562 0.00302787
578 -0.445692 0.00302542
579 -0.4456 0.0030216
580 -0.445393 0.00302349
