n_block              T     sigma             mu            <H>         H_err
319 0.00195925 0.623676 0.843478 -0.437106 0.00261561
320 0.00194704 0.623676 0.843478 -0.437106 0.00676884
321 0.00193495 0.623676 0.843478 -0.437106 0.00178973
322 0.00192297 0.623676 0.843478 -0.437106 0.00348141
323 0.0019111 0.623676 0.843478 -0.437106 0.0116025
324 0.00189934 0.623676 0.843478 -0.437106 0.00419937
325 0.00188768 0.623676 0.843478 -0.437106 0.0134287
326 0.00187614 0.623676 0.843478 -0.437106 0.00509902
327 0.0018647 0.623676 0.843478 -0.437106 0.0041218
328 0.00185336 0.623676 0.843478 -0.437106 0.0049034
329 0.00184213 0.623676 0.843478 -0.437106 0.00517968
330 0.001831 0.623676 0.843478 -0.437106 0.012037
331 0.00181997 0.623676 0.843478 -0.437106 0.0176523
332 0.00180904 0.623676 0.843478 -0.437106 0.00185142
333 0.00179821 0.623676 0.843478 -0.437106 0.00445093
334 0.00178747 0.623676 0.843478 -0.437106 0.00785564
335 0.00177683 0.623676 0.843478 -0.437106 0.0494355
336 0.00176629 0.623676 0.843478 -0.437106 0.00232004
337 0.00175583 0.623676 0.843478 -0.437106 0.0040032
338 0.00174547 0.623676 0.843478 -0.437106 0.00559575
339 0.00173521 0.623676 0.843478 -0.437106 0.00397015
340 0.00172503 0.623676 0.843478 -0.437106 0.00159602
341 0.00171494 0.623676 0.843478 -0.437106 0.0432418
342 0.00170494 0.623676 0.843478 -0.437106 0.00342945
343 0.00169503 0.623676 0.843478 -0.437106 0.0020342
344 0.0016852 0.623676 0.843478 -0.437106 0.0049739
345 0.00167546 0.638191 0.78912 -0.440778 0.00129705
346 0.00166581 0.638191 0.78912 -0.440778 0.00748438
347 0.00165623 0.638191 0.78912 -0.440778 0.00343689
348 0.00164674 0.638191 0.78912 -0.440778 0.00628311
349 0.00163733 0.638191 0.78912 -0.440778 0.00434791
350 0.001628 0.638191 0.78912 -0.440778 0.008544
351 0.00161875 0.638191 0.78912 -0.440778 0.00282508
352 0.00160958 0.638191 0.78912 -0.440778 0.00186725
353 0.00160049 0.638191 0.78912 -0.440778 0.00634107
354 0.00159147 0.638191 0.78912 -0.440778 0.00728095
355 0.00158253 0.638191 0.78912 -0.440778 0.00401759
356 0.00157366 0.638191 0.78912 -0.440778 0.00543641
357 0.00156487 0.638191 0.78912 -0.440778 0.00363031
358 0.00155615 0.638191 0.78912 -0.440778 0.0106584
359 0.00154751 0.60892 0.841679 -0.436926 0.0014545
360 0.00153894 0.60892 0.841679 -0.436926 0.0191249
361 0.00153043 0.60892 0.841679 -0.436926 0.0237321
362 0.001522 0.60892 0.841679 -0.436926 0.00326989
363 0.00151364 0.60892 0.841679 -0.436926 0.00920773
364 0.00150534 0.60892 0.841679 -0.436926 0.00490753
365 0.00149712 0.60892 0.841679 -0.436926 0.00181069
366 0.00148896 0.60892 0.841679 -0.436926 0.00852133
367 0.00148087 0.60892 0.841679 -0.436926 0.00193018
368 0.00147284 0.60892 0.841679 -0.436926 0.0163745
369 0.00146488 0.60892 0.841679 -0.436926 0.00489404
370 0.00145698 0.60892 0.841679 -0.436926 0.0038301
371 0.00144915 0.60892 0.841679 -0.436926 0.00359602
372 0.00144138 0.60892 0.841679 -0.436926 0.00156265
373 0.00143367 0.60892 0.841679 -0.436926 0.00180853
374 0.00142602 0.60892 0.841679 -0.436926 0.00147496
375 0.00141844 0.60892 0.841679 -0.436926 0.00228633
376 0.00141091 0.60892 0.841679 -0.436926 0.00284444
377 0.00140345 0.60892 0.841679 -0.436926 0.00682816
378 0.00139604 0.60892 0.841679 -0.436926 0.00170192
379 0.0013887 0.60892 0.841679 -0.436926 0.0055241
380 0.00138141 0.60892 0.841679 -0.436926 0.00299392
381 0.00137417 0.60892 0.841679 -0.436926 0.00192292
382 0.001367 0.60892 0.841679 -0.436926 0.00148174
383 0.00135988 0.60892 0.841679 -0.436926 0.0358926
384 0.00135281 0.60892 0.841679 -0.436926 0.0151937
385 0.0013458 0.60892 0.841679 -0.436926 0.00318317
386 0.00133885 0.60892 0.841679 -0.436926 0.0142253
387 0.00133195 0.60892 0.841679 -0.436926 0.00203465
388 0.0013251 0.60892 0.841679 -0.436926 0.00327741
389 0.0013183 0.60892 0.841679 -0.436926 0.00169676
390 0.00131156 0.626219 0.795123 -0.440648 0.00112284
391 0.00130487 0.626219 0.795123 -0.440648 0.0426639
392 0.00129823 0.626219 0.795123 -0.440648 0.00189523
393 0.00129164 0.626219 0.795123 -0.440648 0.00686356
394 0.0012851 0.626219 0.795123 -0.440648 0.00216762
395 0.00127861 0.626219 0.795123 -0.440648 0.00878627
396 0.00127217 0.626219 0.795123 -0.440648 0.00235652
397 0.00126577 0.626219 0.795123 -0.440648 0.00869599
398 0.00125943 0.626219 0.795123 -0.440648 0.00218991
399 0.00125313 0.626219 0.795123 -0.440648 0.00168414
400 0.00124688 0.626219 0.795123 -0.440648 0.00299137
401 0.00124068 0.626219 0.795123 -0.440648 0.00267086
402 0.00123452 0.626219 0.795123 -0.440648 0.00733544
403 0.00122841 0.626219 0.795123 -0.440648 0.00381236
404 0.00122234 0.626219 0.795123 -0.440648 0.00153623
405 0.00121632 0.626219 0.795123 -0.440648 0.011125
406 0.00121035 0.626219 0.795123 -0.440648 0.00469641
407 0.00120441 0.626219 0.795123 -0.440648 0.00498969
408 0.00119852 0.626219 0.795123 -0.440648 0.0018575
409 0.00119268 0.626219 0.795123 -0.440648 0.00685863
410 0.00118687 0.626219 0.795123 -0.440648 0.00483753
411 0.00118111 0.626219 0.795123 -0.440648 0.00580294
412 0.00117539 0.626219 0.795123 -0.440648 0.00241844
413 0.00116971 0.626219 0.795123 -0.440648 0.00209354
414 0.00116408 0.626219 0.795123 -0.440648 0.0042014
415 0.00115848 0.626219 0.795123 -0.440648 0.00176062
416 0.00115292 0.626219 0.795123 -0.440648 0.00257984
417 0.00114741 0.626219 0.795123 -0.440648 0.00270086
418 0.00114193 0.626219 0.795123 -0.440648 0.00120972
419 0.00113649 0.626219 0.795123 -0.440648 0.00153491
420 0.00113109 0.626219 0.795123 -0.440648 0.00714046
421 0.00112573 0.626219 0.795123 -0.440648 0.0120094
422 0.00112041 0.626219 0.795123 -0.440648 0.00213657
423 0.00111513 0.626219 0.795123 -0.440648 0.00531399
424 0.00110988 0.626219 0.795123 -0.440648 0.00441727
425 0.00110467 0.626219 0.795123 -0.440648 0.00752396
426 0.00109949 0.626219 0.795123 -0.440648 0.00215842
427 0.00109436 0.626219 0.795123 -0.440648 0.00212626
428 0.00108925 0.626219 0.795123 -0.440648 0.00617603
429 0.00108419 0.626219 0.795123 -0.440648 0.00161707
430 0.00107916 0.589985 0.806549 -0.440247 0.00155501
431 0.00107416 0.589985 0.806549 -0.440247 0.00757308
432 0.0010692 0.589985 0.806549 -0.440247 0.00124562
433 0.00106427 0.589985 0.806549 -0.440247 0.00159274
434 0.00105938 0.589985 0.806549 -0.440247 0.00425543
435 0.00105452 0.589985 0.806549 -0.440247 0.0072839
436 0.00104969 0.589985 0.806549 -0.440247 0.00183896
437 0.0010449 0.589985 0.806549 -0.440247 0.00617861
438 0.00104014 0.589985 0.806549 -0.440247 0.00277473
439 0.00103541 0.589985 0.806549 -0.440247 0.00261466
440 0.00103072 0.589985 0.806549 -0.440247 0.0105786
441 0.00102605 0.589985 0.806549 -0.440247 0.00178259
442 0.00102142 0.589985 0.806549 -0.440247 0.00363127
443 0.00101682 0.589985 0.806549 -0.440247 0.00335243
444 0.00101225 0.589985 0.806549 -0.440247 0.00534499
445 0.00100771 0.589985 0.806549 -0.440247 0.00518359
446 0.0010032 0.589985 0.806549 -0.440247 0.00296688
447 0.000998722 0.589985 0.806549 -0.440247 0.0430026
448 0.000994273 0.589985 0.806549 -0.440247 0.00213253
449 0.000989854 0.589985 0.806549 -0.440247 0.00139664
450 0.000985464 0.589985 0.806549 -0.440247 0.007941
451 0.000981104 0.589985 0.806549 -0.440247 0.00213721
