n_block              T     sigma             mu            <H>         H_err
209 0.00478469 0.620351 0.832355 -0.441422 0.00165283
210 0.0047619 0.620891 0.832468 -0.440831 0.00123813
211 0.00473934 0.616677 0.831308 -0.440676 0.00126846
212 0.00471698 0.620696 0.836359 -0.437032 0.0013775
213 0.00469484 0.621206 0.837962 -0.438907 0.00145088
214 0.0046729 0.621206 0.837962 -0.438907 0.00154624
215 0.00465116 0.622362 0.83684 -0.439313 0.00130935
216 0.00462963 0.623332 0.833846 -0.439875 0.00149485
217 0.00460829 0.624175 0.831347 -0.439773 0.00135507
218 0.00458716 0.624175 0.831347 -0.439773 0.0015526
219 0.00456621 0.624175 0.831347 -0.439773 0.00136971
220 0.00454545 0.621076 0.831826 -0.439833 0.00135291
221 0.00452489 0.621076 0.831826 -0.439833 0.00150251
222 0.0045045 0.623414 0.833238 -0.439328 0.00154651
223 0.0044843 0.621531 0.829589 -0.441628 0.00127103
224 0.00446429 0.619398 0.834041 -0.440982 0.00153183
225 0.00444444 0.618053 0.834267 -0.439395 0.00122941
226 0.00442478 0.618053 0.834267 -0.439395 0.00149833
227 0.00440529 0.615293 0.831736 -0.439631 0.00140275
228 0.00438596 0.617244 0.82936 -0.440076 0.00146704
229 0.00436681 0.616223 0.833043 -0.441912 0.00139627
230 0.00434783 0.613107 0.83109 -0.441115 0.00138217
231 0.004329 0.608409 0.834608 -0.438189 0.001478
232 0.00431034 0.613668 0.833582 -0.440422 0.00128507
233 0.00429185 0.611405 0.831554 -0.441469 0.00144019
234 0.0042735 0.614173 0.832091 -0.439165 0.00137252
235 0.00425532 0.614173 0.832091 -0.439165 0.00140687
236 0.00423729 0.608761 0.83193 -0.439992 0.00132847
237 0.00421941 0.608992 0.835541 -0.440782 0.00135152
238 0.00420168 0.607619 0.837082 -0.440152 0.00136011
239 0.0041841 0.607619 0.837082 -0.440152 0.0014363
240 0.00416667 0.608351 0.8388 -0.438537 0.00139268
241 0.00414938 0.609419 0.837653 -0.438315 0.00142768
242 0.00413223 0.61076 0.839788 -0.439371 0.00153607
243 0.00411523 0.613581 0.839236 -0.438701 0.0011665
244 0.00409836 0.613581 0.839236 -0.438701 0.00138586
245 0.00408163 0.613077 0.837633 -0.440708 0.00132274
246 0.00406504 0.613077 0.837633 -0.440708 0.00150633
247 0.00404858 0.613077 0.837633 -0.440708 0.00106857
248 0.00403226 0.612363 0.837959 -0.439244 0.00137823
249 0.00401606 0.6149 0.837748 -0.438948 0.00128554
250 0.004 0.614463 0.84 -0.437433 0.00131473
251 0.00398406 0.612574 0.837577 -0.442444 0.00130349
252 0.00396825 0.610197 0.839329 -0.439413 0.00129779
253 0.00395257 0.610197 0.839329 -0.439413 0.0014247
254 0.00393701 0.612986 0.842861 -0.440561 0.00148899
255 0.00392157 0.612986 0.842861 -0.440561 0.00159998
256 0.00390625 0.612986 0.842861 -0.440561 0.00139298
257 0.00389105 0.616064 0.839743 -0.439935 0.00134978
258 0.00387597 0.618776 0.840865 -0.437757 0.00133818
259 0.003861 0.620076 0.840458 -0.437028 0.00129568
260 0.00384615 0.620076 0.840458 -0.437028 0.00137734
261 0.00383142 0.62129 0.839533 -0.435983 0.00162127
262 0.00381679 0.621518 0.836474 -0.438444 0.00125443
263 0.00380228 0.61959 0.835494 -0.437795 0.00153711
264 0.00378788 0.616809 0.837501 -0.438965 0.00131986
265 0.00377358 0.620969 0.839001 -0.437487 0.00133058
266 0.0037594 0.622274 0.834623 -0.439929 0.00152768
267 0.00374532 0.622575 0.836576 -0.441641 0.00131415
268 0.00373134 0.61941 0.835982 -0.440862 0.00137855
269 0.00371747 0.617779 0.835244 -0.444011 0.00132654
270 0.0037037 0.619905 0.832879 -0.440758 0.00137347
271 0.00369004 0.618178 0.832979 -0.442056 0.00140263
272 0.00367647 0.618301 0.831467 -0.442267 0.00130995
273 0.003663 0.6223 0.830402 -0.438384 0.00146662
274 0.00364964 0.623409 0.832294 -0.438876 0.00148151
275 0.00363636 0.623847 0.831558 -0.440154 0.00129544
276 0.00362319 0.623847 0.831558 -0.440154 0.00146945
277 0.00361011 0.622368 0.83186 -0.44043 0.00148766
278 0.00359712 0.622368 0.83186 -0.44043 0.00140214
279 0.00358423 0.621628 0.830907 -0.439795 0.00131926
280 0.00357143 0.622125 0.830313 -0.440733 0.0014647
281 0.00355872 0.620722 0.827511 -0.441474 0.00151304
282 0.0035461 0.620722 0.827511 -0.441474 0.00150108
283 0.00353357 0.621888 0.825687 -0.441315 0.00142878
284 0.00352113 0.624718 0.827083 -0.442283 0.00124612
285 0.00350877 0.625201 0.827377 -0.439309 0.00137705
286 0.0034965 0.624078 0.829313 -0.441226 0.001311
287 0.00348432 0.621385 0.829513 -0.44082 0.0013626
288 0.00347222 0.619721 0.830671 -0.441557 0.00119353
289 0.00346021 0.619721 0.830671 -0.441557 0.00161664
290 0.00344828 0.6174 0.829226 -0.441006 0.00148191
291 0.00343643 0.616607 0.8321 -0.442432 0.00132458
292 0.00342466 0.616607 0.8321 -0.442432 0.00173762
293 0.00341297 0.616607 0.8321 -0.442432 0.00134259
294 0.00340136 0.61751 0.83447 -0.438668 0.00120578
295 0.00338983 0.617532 0.833092 -0.439687 0.00132376
296 0.00337838 0.620516 0.834792 -0.440057 0.00135598
297 0.003367 0.619089 0.831463 -0.441501 0.00138452
298 0.0033557 0.619089 0.831463 -0.441501 0.00130064
299 0.00334448 0.618481 0.830932 -0.441487 0.00131312
300 0.00333333 0.617886 0.828483 -0.43987 0.00148399
301 0.00332226 0.616912 0.828103 -0.439766 0.00141858
302 0.00331126 0.618063 0.829577 -0.44142 0.00125019
303 0.00330033 0.618063 0.829577 -0.44142 0.00127164
304 0.00328947 0.621382 0.83064 -0.438382 0.00157077
305 0.00327869 0.622148 0.830974 -0.439555 0.00131162
306 0.00326797 0.619989 0.830047 -0.439688 0.00140112
307 0.00325733 0.623363 0.830898 -0.439285 0.00154982
308 0.00324675 0.624336 0.829047 -0.441038 0.00140678
309 0.00323625 0.624336 0.829047 -0.441038 0.00124895
310 0.00322581 0.621939 0.830586 -0.440148 0.00141667
311 0.00321543 0.62234 0.83096 -0.440619 0.00126668
312 0.00320513 0.62574 0.831592 -0.441644 0.00112753
313 0.00319489 0.62664 0.827168 -0.440992 0.00144138
314 0.00318471 0.625105 0.825819 -0.439294 0.00144624
315 0.0031746 0.62766 0.826354 -0.442655 0.00115527
316 0.00316456 0.62654 0.825949 -0.441011 0.00141666
317 0.00315457 0.629532 0.825036 -0.441348 0.00131766
318 0.00314465 0.63046 0.82474 -0.440004 0.00134428
319 0.0031348 0.627312 0.825657 -0.440721 0.00148162
320 0.003125 0.627896 0.827477 -0.440828 0.00128224
321 0.00311526 0.626732 0.828005 -0.440195 0.00130905
322 0.00310559 0.624768 0.827061 -0.443432 0.00120947
323 0.00309598 0.624448 0.82487 -0.44213 0.00145639
324 0.00308642 0.624448 0.82487 -0.44213 0.00131103
325 0.00307692 0.628446 0.826874 -0.43951 0.00149749
326 0.00306748 0.629801 0.825555 -0.436457 0.00151077
327 0.0030581 0.630893 0.826381 -0.437654 0.00148365
328 0.00304878 0.63021 0.827825 -0.440198 0.00131198
329 0.00303951 0.628392 0.829955 -0.438192 0.00146205
330 0.0030303 0.626665 0.827821 -0.440359 0.00145935
331 0.00302115 0.626545 0.825356 -0.442466 0.00135839
332 0.00301205 0.625332 0.825862 -0.440755 0.00145802
333 0.003003 0.625332 0.825862 -0.440755 0.00142651
334 0.00299401 0.625332 0.825862 -0.440755 0.00151955
335 0.00298507 0.625484 0.822592 -0.443181 0.00152766
336 0.00297619 0.625484 0.822592 -0.443181 0.00144848
337 0.00296736 0.625484 0.822592 -0.443181 0.00143758
338 0.00295858 0.624824 0.821293 -0.443321 0.00116234
339 0.00294985 0.624824 0.821293 -0.443321 0.00140081
340 0.00294118 0.624824 0.821293 -0.443321 0.00141114
341 0.00293255 0.624824 0.821293 -0.443321 0.00132252
342 0.00292398 0.62436 0.820396 -0.440843 0.00142161
343 0.00291545 0.625183 0.819881 -0.442817 0.00133755
344 0.00290698 0.624357 0.821398 -0.442177 0.00134284
345 0.00289855 0.624357 0.821398 -0.442177 0.00118942
346 0.00289017 0.624041 0.823362 -0.44207 0.00130347
347 0.00288184 0.624788 0.822325 -0.442323 0.00116012
348 0.00287356 0.622792 0.824642 -0.441766 0.00151514
349 0.00286533 0.621388 0.823413 -0.44243 0.00134584
